,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-06,2021-04-13,2021-04-20,2021-04-27,2021-05-04,2021-05-11,2021-05-18,2021-05-25,2021-06-01,2021-06-09,2021-06-16,2021-06-23,2021-06-30,2021-07-08,2021-07-15,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-21,2021-08-28,2021-09-05,2021-09-12,2021-09-19,2021-09-27,2021-10-04,2021-10-12,2021-10-19,2021-10-27,2021-11-04,2021-11-11,2021-11-18,2021-11-26,2021-12-03,2021-12-10
unstatesloth,0.007669975154026381,0.007770603619369171,0.007774152930334981,0.007717444747837865,0.00762329820188132,0.007544124215281428,0.007472925416522826,0.007437903279340299,0.007474719095705688,0.0074258341276883435,0.0071441080959463625,0.006963540749061294,0.006823446966804692,0.006799270093420217,0.006844471825199856,0.006781482420753733,0.006726861138252255,0.006727208989214551,0.006602386453927883,0.006153347939029643,0.00509727997407243,0.004365429668162208,0.004461952151615477,0.004415000506966565,0.004297756236213928,0.004370226599726392,0.004499641918423152,0.004534344271122603,0.004379498603210176,0.0043089448872788,0.004387702763594759,0.004296435123648718,0.004192637569498189,0.004105147730256313,0.004132251974304544,0.004042155684555831,0.003888319550339169,0.004003423469929349,0.003984761397729915
Pepo,0.005774401759259385,0.005836195791158474,0.005838375355701111,0.005803551936440675,0.0077445787881545046,0.00810074061559986,0.00811130568540738,0.010424637399058174,0.012538249150700459,0.017675287868068122,0.017744403451234257,0.017369994675439294,0.020118575485324718,0.018021539772949385,0.01625891070970135,0.016285305701402308,0.015926226552134628,0.01582292166120978,0.016908460057782234,0.01753329355627282,0.014527764492424702,0.01383259927470905,0.01465363862776893,0.013986546062173356,0.014720060086862104,0.016089411222361696,0.015574598319189344,0.009642766027423404,0.005842304633263672,0.005873489170286035,0.0059575377104088886,0.005965591696740237,0.005985538941996819,0.006087072057977564,0.005997815463548883,0.005917175022925158,0.005742859912166684,0.00601126765684391,0.00609063441067688
Willydmq,0.0007069884745026179,0.00045178643186544724,0.0004427850881070601,0.0005866016906777811,0.0008222652637385129,0.0010224292562187266,0.00120291106247496,0.0012881092216462026,0.0011914985745816516,0.0013074618195554322,0.002021566670462135,0.002479908948342906,0.002830802375495644,0.0028953459565987686,0.0027834871781566564,0.00294313255598564,0.0030821614502856256,0.003081439807605632,0.0033961976793793346,0.004533599574111488,0.0072155298118324485,0.009071943328537169,0.008825973049320649,0.008946036082223113,0.00924212798775145,0.009056282633777182,0.008728996382482913,0.008650220468367406,0.009048668056247999,0.009227482517308079,0.009027690742664757,0.009259053558763056,0.00952216288870763,0.009743803523080855,0.00967522916716719,0.00990376000537973,0.010294024887562795,0.010001805275345627,0.009982586047247104
sanchote,0.1104675930629761,0.11191690471481419,0.11196802402505333,0.11115127868994701,0.10979532353779077,0.1086550121864171,0.1076295642847105,0.10712515441104303,0.10765539793059316,0.10695132723344081,0.10289373956141519,0.10029310008141767,0.09827538521035303,0.09792717534566145,0.0985781978602981,0.09767098659065263,0.09688429804384767,0.0968893080025213,0.0950915388108052,0.08862421617451974,0.07341409047567743,0.06287354240964298,0.06426371724194947,0.06358749143018907,0.061898868960053886,0.06294263070176152,0.06480654792115487,0.06530635206645492,0.0630761716699076,0.06206001463887776,0.0631943329197927,0.061879841502687556,0.060384886728705844,0.059124805468410854,0.05951517708522474,0.05821755615783228,0.05600191567246428,0.0576597115184608,0.057390929135722996
nicoll16,4.592080912964545e-05,2.934474783291519e-05,2.876008626692578e-05,3.810136267312219e-05,5.340834764900258e-05,6.640953907546568e-05,7.813231939702162e-05,8.366616973065285e-05,7.739104751332967e-05,8.49231731851685e-05,0.0001313062101648176,0.00016107677788647262,0.0001838682528174665,0.00018806053257204876,0.0001807950030767777,0.00019116440114776094,0.00020019470298280402,0.00020014783034348545,0.00022059220344580822,0.000294469525630498,0.00046866813138860756,0.0005892471985739179,0.000573270765221997,0.0005810691831825149,0.0006003011514096707,0.0005882299941910363,0.0005669718690327517,0.0005618551608450312,0.0005877354068336305,0.0005993498885855957,0.0005863728737120172,0.000601400512918189,0.0006184901738622572,0.0006328863311314218,0.000628432241676406,0.000643275936277197,0.0006686246934508412,0.0006496442411230942,0.0006483959003976638
llealg2,0.02267240194166025,0.0227426598605657,0.022745137958598467,0.022705544799013,0.02263714962764025,0.022581331786342283,0.022531549083100056,0.022503986440516103,0.022526905270117754,0.022485890612335604,0.022288869396441795,0.02216314991730674,0.0220615613664333,0.022047455193822448,0.022081399817808694,0.022037334469460938,0.021999632048781602,0.02200001282351823,0.021911314536743224,0.02159659999317489,0.020862402568199205,0.020351758442649144,0.020418134768644545,0.020386203834866508,0.020303271795953388,0.020352104998838882,0.020443253358976326,0.020475413066308647,0.02037223749841471,0.020322878244692536,0.020377818769019552,0.020314011102774743,0.02024142906463678,0.02018013758284216,0.020199202612132632,0.020136331890132572,0.02002903121298832,0.020109132357693797,0.020038934853465695
My-name-is-Sylar---,0.0002740312381899603,0.00017511402206183237,0.00017162506932152127,0.00022736889414476757,0.00031871293022334065,0.0003962972030631318,0.00046625259077146854,0.0004992756991971414,0.0004618290700196891,0.0005067768347297815,0.0007835664056334526,0.0009612214968438672,0.0010972290327277176,0.0011222463534971213,0.0010788894945603848,0.0011407686087687998,0.0011946567008993103,0.0011943769896391393,0.0013163782561984928,0.0017572392613971065,0.0027967649259403806,0.0035163173838967357,0.003420978431986589,0.00346751528902694,0.0035822815609198974,0.0035102472431083544,0.0033833899322479252,0.003352856108765434,0.003507295805872997,0.0035766049246744556,0.0034991649247873347,0.00358884197222596,0.003690824080936808,0.003776732776284681,0.0037501531129141845,0.0038387324756881387,0.003990000527068923,0.0038767351697862646,0.003869285728864899
Lewiii,0.00033699604894266014,0.00021535038829546618,0.0002110597705680906,0.0002796119868864492,0.0003919443598534182,0.0004873553559858178,0.0005733845598666515,0.0006139954666259105,0.0005679446362082685,0.0006232201559488512,0.0009636083262873411,0.0011820836512463006,0.0013493419628243122,0.0013801075730157165,0.00132678850525996,0.0014028857310289867,0.0014691558185306584,0.0014688118373475459,0.0016188456257144107,0.0021610043148702573,0.003439384269066337,0.004324270010341491,0.0042070248002104415,0.004264254541813609,0.004405390933544962,0.004316805118835976,0.00416079950129459,0.004123249848413121,0.0043131755228322955,0.004398409963059135,0.0043031763898196155,0.0044134587461935664,0.004538873527097388,0.0046445216681388225,0.004611834732163027,0.004720767186250572,0.004906792458344705,0.0047675018499510925,0.004758340733233473
Juan-david,0.00016480862217214018,0.00010531755755169116,0.0001032192219832631,0.00013674482667127983,0.00019168120848376565,0.00023834215558385375,0.0002804149175721665,0.00030027576641343464,0.0002777545115357377,0.000304787120009567,0.0004712546662410289,0.0005781004806001854,0.0006598985075043552,0.0006749444934790845,0.0006488686919380866,0.000686084199269597,0.0007184937240893852,0.000718325499372746,0.0007916998371953733,0.001056843677423696,0.0016820380662736023,0.002114793287757357,0.0020574542726602713,0.002085442597420989,0.002154465644820424,0.002111142566962414,0.002034847693598826,0.002016483957365557,0.0021093675054497203,0.00215105158661172,0.0021044774085482694,0.0021584112254607055,0.002219745586221405,0.002271413030438383,0.0022554274160725704,0.0023087010604500835,0.0023996771086240132,0.002331556745424217,0.0023270764821436054
joche,0.014307427800773022,0.014495138252721326,0.014501759070829083,0.01439597669076953,0.014220357489674946,0.01407266781999164,0.013939854916131617,0.013874525278276827,0.013943200811638601,0.01385201170914404,0.01332648525334702,0.012989658311035601,0.01272832999709428,0.012683230910923809,0.012767549373620209,0.012650050119942248,0.012548160603994434,0.012548809478655502,0.012315967862397342,0.011478339838491645,0.009508370463375382,0.008143190628693984,0.00832324185903389,0.008235659141691028,0.008016953877963149,0.008152138734866636,0.008393547643159631,0.008458280761037296,0.008169434556267454,0.00803782497781471,0.00818473844317858,0.008014489499361671,0.007820867488588151,0.007657665583351566,0.007708225331854926,0.007540161402727261,0.00725319836317954,0.0074679110559915845,0.007433099176520756
